시도,연령별,인구수,남자인구수,여자인구수
경상북도,94세,1440,291,1149
경상북도,95세,1066,196,870
경상북도,96세,712,126,586
경상북도,97세,489,82,407
경상북도,98세,314,61,253
경상북도,99세,217,34,183
경상북도,100세 이상,813,181,632
경상남도,계,3380404,1701413,1678991
경상남도,0세,23286,12031,11255
경상남도,1세,27766,14212,13554
경상남도,2세,30553,15706,14847
경상남도,3세,30861,15922,14939
경상남도,4세,30692,15749,14943
경상남도,5세,34149,17601,16548
경상남도,6세,33398,17115,16283
경상남도,7세,33028,17151,15877
경상남도,8세,31045,16078,14967
경상남도,9세,32637,16806,15831
경상남도,10세,34331,17690,16641
경상남도,11세,30362,15799,14563
경상남도,12세,29289,15240,14049
경상남도,13세,31763,16769,14994
경상남도,14세,32793,17342,15451
경상남도,15세,33323,17609,15714
경상남도,16세,37716,19934,17782
경상남도,17세,42955,22748,20207
경상남도,18세,42141,22102,20039
경상남도,19세,42229,22442,19787
경상남도,20세,43625,23470,20155
경상남도,21세,44626,24775,19851
경상남도,22세,43957,24562,19395
경상남도,23세,42392,23715,18677
경상남도,24세,40966,22942,18024
경상남도,25세,39939,22043,17896
경상남도,26세,38353,20877,17476
경상남도,27세,34574,19243,15331
경상남도,28세,34693,18823,15870
경상남도,29세,34143,18320,15823
경상남도,30세,34680,18177,16503
경상남도,31세,35983,19218,16765
경상남도,32세,38324,20231,18093
경상남도,33세,39937,20662,19275
경상남도,34세,45850,23757,22093
경상남도,35세,51508,26561,24947
경상남도,36세,53435,27700,25735
경상남도,37세,54266,28012,26254
경상남도,38세,52846,27263,25583
경상남도,39세,47236,24802,22434
경상남도,40세,49576,25337,24239
경상남도,41세,48388,25053,23335
경상남도,42세,51459,26226,25233
경상남도,43세,55298,28674,26624
경상남도,44세,59075,29980,29095
경상남도,45세,57425,30104,27321
경상남도,46세,61150,31722,29428
경상남도,47세,60822,31393,29429
경상남도,48세,62032,31718,30314
경상남도,49세,61420,31217,30203
경상남도,50세,58584,29333,29251
경상남도,51세,55009,29277,25732
경상남도,52세,56899,28905,27994
경상남도,53세,53116,27207,25909
경상남도,54세,51281,26822,24459
경상남도,55세,60226,30981,29245
경상남도,56세,63112,31628,31484
경상남도,57세,63130,31602,31528
경상남도,58세,56372,28592,27780
경상남도,59세,52123,26701,25422
경상남도,60세,51863,26332,25531
경상남도,61세,47191,23617,23574
경상남도,62세,48604,23802,24802
경상남도,63세,41224,21012,20212
경상남도,64세,34915,17139,17776
경상남도,65세,38940,19148,19792
경상남도,66세,30675,14946,15729
경상남도,67세,29710,14448,15262
경상남도,68세,30606,14788,15818
경상남도,69세,30207,14595,15612
경상남도,70세,28587,13327,15260
경상남도,71세,22810,10702,12108
경상남도,72세,19396,8778,10618
경상남도,73세,22680,9811,12869
경상남도,74세,22603,9389,13214
경상남도,75세,26297,10627,15670
경상남도,76세,23066,9179,13887
경상남도,77세,20999,8025,12974
경상남도,78세,20669,7633,13036
경상남도,79세,18217,6537,11680
경상남도,80세,17027,5961,11066
경상남도,81세,16008,5429,10579
경상남도,82세,14524,4723,9801
경상남도,83세,13000,3887,9113
경상남도,84세,10631,3050,7581
경상남도,85세,9837,2581,7256
경상남도,86세,7865,1931,5934
경상남도,87세,6626,1464,5162
경상남도,88세,5632,1361,4271
경상남도,89세,4368,969,3399
경상남도,90세,3494,731,2763
경상남도,91세,2527,492,2035
경상남도,92세,2050,352,1698
경상남도,93세,1403,277,1126
경상남도,94세,1196,208,988
경상남도,95세,888,161,727
경상남도,96세,512,74,438
경상남도,97세,388,63,325
경상남도,98세,219,49,170
경상남도,99세,150,27,123
경상남도,100세 이상,653,117,536
제주특별자치도,계,657083,330823,326260
제주특별자치도,0세,4939,2564,2375
제주특별자치도,1세,5745,2983,2762
제주특별자치도,2세,6144,3216,2928
제주특별자치도,3세,6287,3185,3102
제주특별자치도,4세,6358,3215,3143
제주특별자치도,5세,7173,3657,3516
제주특별자치도,6세,6971,3613,3358
제주특별자치도,7세,6960,3600,3360
제주특별자치도,8세,6709,3492,3217
제주특별자치도,9세,6824,3493,3331
제주특별자치도,10세,7385,3786,3599
제주특별자치도,11세,6810,3568,3242
제주특별자치도,12세,6472,3433,3039
제주특별자치도,13세,6796,3598,3198
제주특별자치도,14세,7154,3755,3399
제주특별자치도,15세,6988,3764,3224
제주특별자치도,16세,7817,4105,3712
제주특별자치도,17세,8908,4580,4328
제주특별자치도,18세,8304,4337,3967
제주특별자치도,19세,8239,4337,3902
제주특별자치도,20세,8747,4596,4151
제주특별자치도,21세,8777,4647,4130
제주특별자치도,22세,8869,4661,4208
제주특별자치도,23세,8794,4707,4087
제주특별자치도,24세,8539,4475,4064
제주특별자치도,25세,8347,4547,3800
제주특별자치도,26세,7795,4002,3793
제주특별자치도,27세,6818,3676,3142
제주특별자치도,28세,6597,3402,3195
제주특별자치도,29세,6468,3345,3123
제주특별자치도,30세,6629,3412,3217
제주특별자치도,31세,6816,3571,3245
제주특별자치도,32세,7327,3717,3610
제주특별자치도,33세,7704,3900,3804
제주특별자치도,34세,8705,4384,4321
제주특별자치도,35세,10062,5110,4952
제주특별자치도,36세,10240,5220,5020
제주특별자치도,37세,10234,5280,4954
제주특별자치도,38세,10669,5316,5353
제주특별자치도,39세,8926,4602,4324
제주특별자치도,40세,10045,5117,4928
제주특별자치도,41세,9842,5215,4627
제주특별자치도,42세,10284,5306,4978
제주특별자치도,43세,11463,6134,5329
제주특별자치도,44세,11740,6035,5705
제주특별자치도,45세,12132,6330,5802
제주특별자치도,46세,12980,6797,6183
제주특별자치도,47세,12148,6376,5772
제주특별자치도,48세,12009,6355,5654
제주특별자치도,49세,11826,6161,5665
제주특별자치도,50세,10984,5742,5242
제주특별자치도,51세,10957,5950,5007
제주특별자치도,52세,10574,5579,4995
제주특별자치도,53세,10373,5401,4972
제주특별자치도,54세,10823,5626,5197
제주특별자치도,55세,10504,5469,5035
제주특별자치도,56세,10661,5423,5238
제주특별자치도,57세,10745,5547,5198
제주특별자치도,58세,10046,5096,4950
제주특별자치도,59세,9199,4732,4467
제주특별자치도,60세,8916,4522,4394
제주특별자치도,61세,8349,4179,4170
제주특별자치도,62세,8571,4235,4336
제주특별자치도,63세,7038,3529,3509
제주특별자치도,64세,5711,2721,2990
제주특별자치도,65세,6192,3045,3147
제주특별자치도,66세,5138,2531,2607
제주특별자치도,67세,5245,2488,2757
제주특별자치도,68세,5100,2385,2715
제주특별자치도,69세,5582,2749,2833
제주특별자치도,70세,5393,2541,2852
제주특별자치도,71세,4802,2276,2526
제주특별자치도,72세,4191,1969,2222
제주특별자치도,73세,4317,1993,2324
제주특별자치도,74세,4152,1836,2316
제주특별자치도,75세,4454,1960,2494
제주특별자치도,76세,4210,1805,2405
제주특별자치도,77세,3692,1514,2178
제주특별자치도,78세,3700,1468,2232
제주특별자치도,79세,3385,1314,2071
제주특별자치도,80세,3156,1186,1970
제주특별자치도,81세,2760,959,1801
제주특별자치도,82세,2644,927,1717
제주특별자치도,83세,2611,866,1745
제주특별자치도,84세,2394,693,1701
제주특별자치도,85세,1852,484,1368
제주특별자치도,86세,1411,352,1059
제주특별자치도,87세,1276,245,1031
제주특별자치도,88세,1195,238,957
제주특별자치도,89세,801,136,665
제주특별자치도,90세,661,84,577
제주특별자치도,91세,467,76,391
제주특별자치도,92세,360,53,307
제주특별자치도,93세,274,48,226
제주특별자치도,94세,561,47,514
제주특별자치도,95세,353,44,309
제주특별자치도,96세,246,19,227
제주특별자치도,97세,131,21,110
제주특별자치도,98세,100,9,91
제주특별자치도,99세,69,7,62
제주특별자치도,100세 이상,242,27,215
